PomeroyRank,Team,Conf,TeamID,Season,AdjEM,AdjO,AdjD,AdjT,Luck,SOSAdjEM,OppO,OppD,NCSOSAdjEM
313,Alcorn St.,SWAC,1108,2016,-14.55,98,112.6,65.5,0.103,-9.04,98.8,107.8,3.06
285,Alcorn St.,SWAC,1108,2017,-10.5,95.5,106,67.8,0.048,-11.09,98.1,109.2,11.03
336,Alcorn St.,SWAC,1108,2018,-19.43,95,114.4,68,-0.055,-9.05,99.6,108.7,9.81
294,American,Pat,1109,2010,-13.09,94.1,107.2,62.4,0.016,-7.81,99.2,107,-6.12
173,American,Pat,1109,2011,-0.64,104.1,104.7,60.3,0.128,-6.21,101,107.2,-3.55
177,American,Pat,1109,2012,-0.91,101.3,102.2,61.7,0.056,-5.45,100.1,105.5,-4.69
277,American,Pat,1109,2013,-10.51,98,108.5,58.5,0.004,-2.05,101.2,103.3,-2.63
188,American,Pat,1109,2015,-1.77,102.5,104.2,56.8,0.015,-2.32,103.7,106,2.69
319,American,Pat,1109,2016,-15.34,92.1,107.4,61.3,0.111,-4.72,102.6,107.3,0.25
307,American,Pat,1109,2017,-12.94,95.2,108.1,64.3,-0.017,-4.21,101.6,105.8,-4.47
328,American,Pat,1109,2018,-16.14,95.6,111.8,66.5,-0.061,-6.16,102.1,108.3,-3.16
120,American 15,Pat,1109,2014,4.57,103.4,98.9,59.7,0.007,-2.59,103.6,106.2,-0.1
109,Appalachian St.,SC,1111,2010,6.18,110.1,104,65.3,0.012,-1.96,101.7,103.7,2.75
212,Appalachian St.,SC,1111,2011,-4.38,104.7,109,66,0.044,-2.32,103.4,105.7,5.92
258,Appalachian St.,SC,1111,2012,-8.4,99.6,108,65.5,0.005,-4.14,101,105.2,4.97
264,Appalachian St.,SC,1111,2013,-8.9,99.4,108.3,66.5,0.011,-7.39,100.2,107.6,-3.85
331,Appalachian St.,SC,1111,2014,-18.63,92,110.7,64.7,-0.033,-7.65,102,109.7,3.4
283,Appalachian St.,SB,1111,2015,-9.63,98.3,107.9,65.3,0.074,-2.64,102.5,105.1,0.27
258,Appalachian St.,SB,1111,2016,-8.17,102.7,110.9,70.3,-0.015,-0.42,104,104.4,1.8
274,Appalachian St.,SB,1111,2017,-9.61,99.5,109.2,70.5,-0.039,-0.76,103.9,104.7,-0.49
208,Appalachian St.,SB,1111,2018,-4.11,103.4,107.5,70.1,-0.026,-2.58,103,105.6,-0.19
87,Arizona,P10,1112,2010,8.83,108.4,99.5,67.6,0.027,8.32,107.1,98.8,6.93
139,Arizona St.,P10,1113,2011,2.68,104,101.3,62.6,-0.008,7.28,107.2,99.9,1.2
230,Arizona St.,P12,1113,2012,-5.55,100.6,106.1,62.5,0.006,2.84,103.7,100.8,-3.67
93,Arizona St.,P12,1113,2016,8.38,109.6,101.2,67.9,-0.015,9.11,109.9,100.8,4.11
126,Arizona St.,P12,1113,2017,2.81,111.9,109.1,70,0.035,6.49,108.6,102.1,-1.06
52,Arizona St. 1,P10,1113,2010,15.18,110,94.8,61,-0.013,4.11,104.1,100,-3.16
39,Arizona St. 10,P12,1113,2014,14.82,111.2,96.4,67.4,0.003,7.5,108.6,101.1,-2.6
49,Arizona St. 11,P12,1113,2018,14.13,116.7,102.6,71.3,-0.083,5.48,107.4,101.9,0.94
72,Arizona St. 3,P12,1113,2013,10.5,108.3,97.8,64.8,-0.014,3.91,104.8,100.9,-11.29
65,Arizona St. 5,P12,1113,2015,11.13,109.8,98.7,65.8,-0.035,6.57,106.7,100.2,-2.47
51,Arizona 1,P12,1112,2012,12.77,107.6,94.9,64.3,-0.051,3.71,105.2,101.5,1.3
2,Arizona 1,P12,1112,2014,30.11,116.5,86.4,62.8,0.014,9.3,109.9,100.6,1.62
4,Arizona 2,P12,1112,2015,32.36,119.9,87.5,65.8,-0.033,7.37,108.3,100.9,0.09
18,Arizona 2,P12,1112,2017,23.31,118.4,95.1,66,0.046,7.13,108.7,101.5,1.69
28,Arizona 4,P12,1112,2018,17.7,118,100.4,67.1,0.036,5.96,108.5,102.5,2.51
20,Arizona 5,P10,1112,2011,19.65,117.4,97.8,65.3,0.064,7.69,107.7,100,-0.36
14,Arizona 6,P12,1112,2013,21.88,115.4,93.5,65.5,-0.012,7.99,106.4,98.5,1.45
19,Arizona 6,P12,1112,2016,20.97,116.8,95.8,68.3,-0.038,6.66,107.9,101.3,-3.66
119,Arkansas,SEC,1116,2010,5.3,105.9,100.6,69.7,-0.075,5.5,105.9,100.3,-2.77
113,Arkansas,SEC,1116,2011,5.15,106.2,101,66,0.004,0.19,102.1,101.9,-10.48
127,Arkansas,SEC,1116,2012,4.07,106.4,102.4,69.5,0.031,2.35,103.2,100.8,-7.09
80,Arkansas,SEC,1116,2013,9.29,106.7,97.4,69.6,0.004,4.24,103.7,99.5,-4.85
73,Arkansas,SEC,1116,2016,10.45,110.7,100.3,69.7,-0.08,6.4,108.6,102.2,-0.79
281,Arkansas Little Rock,SB,1114,2010,-11.99,99.6,111.6,65.5,-0.022,-1.79,102.4,104.2,8.46
180,Arkansas Little Rock,SB,1114,2012,-1.56,98.3,99.9,63.7,0.024,-0.56,102.2,102.7,3.17
220,Arkansas Little Rock,SB,1114,2013,-4.74,97.6,102.4,66.4,0.06,-3.9,99.5,103.4,-2.32
219,Arkansas Little Rock,SB,1114,2014,-4.7,101.1,105.8,66.3,0.06,-0.35,104.6,105,7.34
235,Arkansas Little Rock,SB,1114,2015,-5.63,104.3,109.9,64.3,-0.048,-4.76,100.6,105.4,-4.87
56,Arkansas Little Rock 12,SB,1114,2016,13.24,109.2,96,63.4,0.056,-0.77,104.2,104.9,-0.2
215,Arkansas Little Rock 16,SB,1114,2011,-4.53,101.1,105.6,64.1,0.032,-3.85,102.2,106.1,0.85
338,Arkansas Pine Bluff,SWAC,1115,2011,-22.25,88.9,111.2,65.7,0.005,-7.76,96.3,104,10.84
321,Arkansas Pine Bluff,SWAC,1115,2012,-17.97,93.5,111.5,65.2,0.062,-8.05,96.2,104.2,8.51
281,Arkansas Pine Bluff,SWAC,1115,2013,-11.19,92.5,103.7,66.6,0.117,-8.5,96.6,105.1,8.92
326,Arkansas Pine Bluff,SWAC,1115,2014,-17.01,91.7,108.7,65,0.089,-7.26,100.4,107.7,12.22
324,Arkansas Pine Bluff,SWAC,1115,2015,-16.89,92.5,109.4,63.2,0.037,-8.36,99.3,107.7,4.44
344,Arkansas Pine Bluff,SWAC,1115,2016,-20.69,89,109.7,64.1,0.05,-3.91,102.1,106,10.98
348,Arkansas Pine Bluff,SWAC,1115,2017,-25.28,85.7,111,67.6,-0.01,-9.35,100.4,109.7,2.79
329,Arkansas Pine Bluff,SWAC,1115,2018,-16.45,93.6,110,67.5,0.044,-9.64,98.9,108.5,3.38
231,Arkansas Pine Bluff 16,SWAC,1115,2010,-6.44,93.1,99.5,65.1,0.053,-7.62,96.4,104,17.98
202,Arkansas St.,SB,1117,2010,-2.95,99.1,102,66.5,0.002,-5,100.8,105.8,-1.6
195,Arkansas St.,SB,1117,2011,-2.73,100.9,103.6,64.1,0.002,-3.81,101.8,105.6,2.06
194,Arkansas St.,SB,1117,2012,-2.68,102.6,105.3,62,-0.024,0.06,102.3,102.2,3.4
148,Arkansas St.,SB,1117,2013,1.74,98.8,97.1,64.2,-0.033,-5.65,99.9,105.6,-7.01
161,Arkansas St.,SB,1117,2014,0.59,106.6,106,66.6,0.003,-3.49,103,106.5,-4.87
295,Arkansas St.,SB,1117,2015,-10.83,96.2,107,65.7,0.023,-3.81,101.8,105.6,-3.98
251,Arkansas St.,SB,1117,2016,-7.51,100.3,107.8,72,-0.011,-1.6,103.1,104.7,-1.88
124,Arkansas St.,SB,1117,2017,2.99,106.3,103.3,67.3,0.022,-1.48,103.6,105,3.26
281,Arkansas St.,SB,1117,2018,-10.56,104.5,115.1,69.5,0.017,-2.27,102.9,105.1,-2.75
44,Arkansas 3,SEC,1116,2014,14.14,111.1,96.9,70.7,-0.033,5.04,107.5,102.5,-5.18
29,Arkansas 5,SEC,1116,2015,16.44,114.7,98.3,69.3,0.045,6.09,107.2,101.1,-3.44
44,Arkansas 7,SEC,1116,2018,14.69,116.3,101.7,69.7,0.059,9.9,110.5,100.6,0.87
35,Arkansas 8,SEC,1116,2017,16.25,116.1,99.8,69.7,0.086,8.37,108.6,100.2,-1.55
259,Army,Pat,1119,2010,-9.68,89.3,99,62.8,-0.018,-9.01,98.9,107.9,-9.28
279,Army,Pat,1119,2011,-10.54,99.5,110,66.9,-0.03,-5.08,100.1,105.2,-5.92
297,Army,Pat,1119,2012,-12.92,93.7,106.7,68.2,-0.005,-8.01,99.2,107.2,-11.94
158,Army,Pat,1119,2013,0.6,105.3,104.7,66.7,-0.084,-4.23,100.6,104.9,-5
228,Army,Pat,1119,2014,-5.31,105.1,110.4,67,0.016,-4.44,102.3,106.7,-8.02
253,Army,Pat,1119,2015,-7.5,100.2,107.8,69.2,0.032,-6.16,102.3,108.4,-7.18
254,Army,Pat,1119,2016,-7.57,99.5,107,72.2,0.04,-8.64,100.4,109.1,-7.62
230,Army,Pat,1119,2017,-6.04,98.6,104.7,71.4,-0.063,-4.56,101.4,106,-3.96
264,Army,Pat,1119,2018,-8.69,99.8,108.5,70.4,-0.045,-7.17,101.9,109.1,-4.75
103,Auburn,SEC,1120,2010,6.98,109.9,102.9,69,-0.075,5.52,105.5,100,-3.37
234,Auburn,SEC,1120,2011,-5.75,96.9,102.7,64.4,0.002,0.66,102.4,101.8,-11.7
147,Auburn,SEC,1120,2012,2.1,99.6,97.5,64,0.027,3.58,104.7,101.1,-6.74
197,Auburn,SEC,1120,2013,-2.83,98.8,101.6,65.6,-0.117,3.79,104.3,100.5,-5.98
122,Auburn,SEC,1120,2014,4.39,109.8,105.4,66,-0.025,4.61,106.8,102.2,-7.93
139,Auburn,SEC,1120,2015,2.45,105.8,103.3,67.2,0.058,7.98,107.3,99.3,1.26
189,Auburn,SEC,1120,2016,-2.56,101.7,104.2,71.8,0.049,7.92,108.7,100.8,2.09
82,Auburn,SEC,1120,2017,8.52,111.9,103.3,73.6,0.045,6.99,107.5,100.5,1.35
23,Auburn 4,SEC,1120,2018,18.69,115.4,96.7,72.6,0.034,7.52,108.8,101.3,-1.86
207,Austin Peay,OVC,1122,2010,-3.52,103.7,107.2,66,0.082,-1.53,102.5,104,9.04
140,Austin Peay,OVC,1122,2011,2.66,103.6,100.9,66.6,-0.045,-2.58,102,104.6,4.3
209,Austin Peay,OVC,1122,2012,-3.5,102.5,106,67.5,-0.03,0.84,104.2,103.4,9.54
311,Austin Peay,OVC,1122,2013,-14.41,98.8,113.3,67.5,-0.071,-4.4,101.2,105.6,-1.99
287,Austin Peay,OVC,1122,2014,-11.64,99.6,111.2,68.9,0.012,-6.73,103.9,110.6,-5.37
317,Austin Peay,OVC,1122,2015,-14.2,94.8,109,66.6,-0.004,-1.93,104.2,106.2,-0.21
289,Austin Peay,OVC,1122,2017,-11.08,106.2,117.3,70,0.04,-2.03,104.6,106.6,2.82
189,Austin Peay,OVC,1122,2018,-2.09,105,107,69.2,0.052,-2.74,103.1,105.8,4.27
217,Austin Peay 16,OVC,1122,2016,-5.1,104.5,109.6,69.5,0.061,-2.92,105.1,108,-0.19
222,Ball St.,MAC,1123,2010,-5.45,94.6,100.1,62,0.052,-2.85,100.8,103.6,-4.22
164,Ball St.,MAC,1123,2011,0.03,103.4,103.3,63.6,0.028,-4.02,100.4,104.4,-1.79
195,Ball St.,MAC,1123,2012,-2.69,100.1,102.8,62.3,-0.054,-4.63,100.1,104.7,-7.52
253,Ball St.,MAC,1123,2013,-7.84,99.5,107.3,64.9,0.08,-3.98,100.3,104.3,-5.27
296,Ball St.,MAC,1123,2014,-13.09,96.5,109.6,65.9,-0.022,1.59,105.1,103.5,4.95
257,Ball St.,MAC,1123,2015,-7.65,100.4,108,63.5,-0.13,1.38,104.8,103.4,-4.3
155,Ball St.,MAC,1123,2016,0.84,103.5,102.6,65.3,-0.017,-3.75,102.9,106.7,-9.95
180,Ball St.,MAC,1123,2017,-0.62,104.7,105.3,71.1,0.041,-3.92,103.2,107.1,-10.95
173,Ball St.,MAC,1123,2018,-0.08,103.3,103.3,69.9,0.06,-2.07,104.7,106.7,-1.46
80,Baylor,B12,1124,2011,9.04,107.1,98.1,64.9,-0.044,3.6,104.4,100.8,-8.92
34,Baylor 1,B12,1124,2018,16.02,111.5,95.5,66.7,-0.079,10.02,110.9,100.9,-3.78
28,Baylor 2,B12,1124,2013,17.89,114.3,96.4,66.4,-0.09,6.92,106,99.1,1.45
8,Baylor 3,B12,1124,2010,24.95,119.2,94.3,64.5,-0.021,10.59,108.3,97.7,-2.79
13,Baylor 3,B12,1124,2012,21.29,116,94.7,65.6,0.059,9.61,108.1,98.5,-2.7
14,Baylor 3,B12,1124,2015,22.14,116.6,94.5,61.5,-0.035,10.22,108.9,98.7,-0.51
13,Baylor 3,B12,1124,2017,24.23,117.1,92.9,63.7,0.023,13.08,111.7,98.6,1.67
24,Baylor 5,B12,1124,2016,19.06,118.9,99.8,66.6,-0.012,11.21,109.7,98.4,-3.12
26,Baylor 6,B12,1124,2014,19.39,118.9,99.5,61.3,0.012,10.31,111,100.6,-0.36
132,Belmont,ASun,1125,2010,3.67,103.3,99.6,68.8,-0.013,-3.95,100.6,104.5,3.56
83,Belmont,OVC,1125,2018,9.15,112.7,103.5,66.9,-0.004,-3.22,103.1,106.4,1.45
43,Belmont 11,OVC,1125,2013,14.92,111.6,96.6,65.9,0.013,-0.74,103.8,104.6,5.39
23,Belmont 13,ASun,1125,2011,18.48,112.6,94.1,68.4,-0.006,-4.71,100.5,105.2,-1.05
25,Belmont 14,ASun,1125,2012,16.96,117.1,100.1,67.2,-0.017,-0.32,103.4,103.7,4.69
142,Belmont 15,OVC,1125,2015,2.27,110.2,107.9,66.9,0.065,-3.33,102.4,105.7,-1.68
97,Belmont 5,OVC,1125,2014,7.1,113.9,106.8,67.7,0.058,-1.37,104.9,106.3,5.34
129,Belmont 6,OVC,1125,2016,3.51,114,110.5,71.6,-0.009,-1.57,103.9,105.5,3.98
83,Belmont 7,OVC,1125,2017,8.17,110.8,102.7,68,0.069,-1.36,103.9,105.2,3.64
292,Bethune Cookman,MEAC,1126,2010,-12.98,93.9,106.9,58.9,0.043,-10.52,96.1,106.6,-2.25
256,Bethune Cookman,MEAC,1126,2012,-8.23,101.4,109.7,62.4,0.055,-7.14,98.2,105.4,2.37
270,Bethune Cookman,MEAC,1126,2013,-9.75,98,107.8,65.1,-0.029,-6.38,97.6,104,1.56
337,Bethune Cookman,MEAC,1126,2014,-20.31,96.5,116.8,60.7,-0.061,-6.73,100.4,107.1,0.62
330,Bethune Cookman,MEAC,1126,2015,-18.66,91.2,109.9,60.2,-0.033,-11.26,98.7,110,-6.77
306,Bethune Cookman,MEAC,1126,2016,-13.96,97.9,111.9,66.5,0.01,-9.08,99.9,109,1.46
340,Bethune Cookman,MEAC,1126,2017,-20.45,95,115.4,68.3,-0.011,-11.77,98.5,110.3,-2.61
288,Bethune Cookman,MEAC,1126,2018,-11.05,99.5,110.6,76,0.025,-13.38,97.2,110.6,-5.09
291,Bethune Cookman 8,MEAC,1126,2011,-12.02,100,112.1,61,0.148,-9.32,97.3,106.6,1.56
272,Binghamton,AE,1127,2010,-11.07,98.1,109.2,62.5,0.045,-3.36,100.9,104.3,2.22
315,Binghamton,AE,1127,2011,-15.89,97.7,113.6,61.6,-0.04,-4.82,100.3,105.1,-0.26
344,Binghamton,AE,1127,2012,-25.99,86.5,112.5,64.6,-0.021,-7.02,98.8,105.8,-5.28
343,Binghamton,AE,1127,2013,-24.06,86.3,110.4,65.1,-0.018,-3.28,99.9,103.2,-4.68
333,Binghamton,AE,1127,2014,-19.39,91.7,111.1,64.2,-0.018,-6.61,100.9,107.5,-2.77
322,Binghamton,AE,1127,2015,-16.41,94,110.4,63,-0.047,-2.91,101.8,104.7,1.78
325,Binghamton,AE,1127,2016,-16.16,88.2,104.4,65.2,-0.021,-6.84,102.4,109.3,-5.06
314,Binghamton,AE,1127,2017,-13.77,96.3,110,65.9,-0.009,-5.33,102.2,107.5,-4.69
297,Binghamton,AE,1127,2018,-11.93,97.4,109.4,66.1,-0.061,-6.88,101,107.9,-8.65
161,Boise St.,WAC,1129,2010,0.94,102.2,101.3,69.5,-0.064,-0.68,104.7,105.4,-7.53
83,Boise St.,WAC,1129,2011,8.22,108.2,100,67.3,-0.038,0.02,103,103,-2.85
154,Boise St.,MWC,1129,2012,1.38,105.3,103.9,64.3,-0.081,2.77,104.1,101.3,-4.39
73,Boise St.,MWC,1129,2014,10.53,114.6,104.1,63.9,-0.056,3.28,107,103.7,0.38
90,Boise St.,MWC,1129,2016,8.61,109.5,100.9,69.2,-0.05,2.63,105.8,103.2,3.81
47,Boise St. 11,MWC,1129,2015,13.85,111.9,98.1,62.8,0.009,0.94,104.8,103.9,-0.31
54,Boise St. 13,MWC,1129,2013,13.54,113.2,99.7,64.8,0.004,6.74,105.9,99.2,-1.38
61,Boise St. 4,MWC,1129,2018,12.9,109.9,97,68.8,-0.006,2.23,106.6,104.3,-1.95
94,Boise St. 6,MWC,1129,2017,7,109.2,102.2,69.5,0.032,3.39,106.1,102.7,1.38
74,Boston College,ACC,1130,2010,10.87,110.7,99.8,64.1,-0.086,8.22,105.6,97.4,-5.29
261,Boston College,ACC,1130,2012,-8.67,95.7,104.3,63.8,0.048,3.88,104.5,100.6,-3.18
107,Boston College,ACC,1130,2013,6.04,109.9,103.9,62.6,0.026,6.46,105.8,99.4,-3.14
142,Boston College,ACC,1130,2014,2.44,114.3,111.8,61.2,-0.073,10.29,109.8,99.5,8.59
110,Boston College,ACC,1130,2015,5.61,107.9,102.3,63.4,-0.035,8.01,108,100,-4.64
225,Boston College,ACC,1130,2016,-5.56,95.3,100.8,66.7,-0.058,8.89,110.3,101.4,-7.93
173,Boston College,ACC,1130,2017,-0.27,103.9,104.2,71.1,-0.032,8.18,110.4,102.2,-6.42
67,Boston College 1,ACC,1130,2011,11.36,116.8,105.5,62.8,0.048,6.9,106.8,99.9,0.89
77,Boston College 5,ACC,1130,2018,10.21,113.1,102.9,70.2,0.004,8.49,109.1,100.6,-7.11
133,Boston University,AE,1131,2010,3.51,103.8,100.3,69.8,0.008,-2.66,100.3,102.9,4.04
181,Boston University,AE,1131,2012,-1.6,100,101.6,63.8,-0.014,-3.1,100.7,103.8,5.09
143,Boston University,AE,1131,2013,2.23,105.3,103,64.4,-0.036,-3.12,99.6,102.8,-0.08
239,Boston University,Pat,1131,2015,-6.29,106.4,112.7,64.2,0.006,-3.45,102.9,106.4,1.66
231,Boston University,Pat,1131,2016,-5.88,102.8,108.7,69.7,0.051,-6.41,100.9,107.3,-2.74
192,Boston University,Pat,1131,2017,-1.68,101.7,103.4,69.6,0.003,-4.1,101.8,105.9,-0.77
258,Boston University,Pat,1131,2018,-8.21,100.2,108.4,67.5,0.057,-5.49,102.2,107.7,-2.35
170,Boston University 16,AE,1131,2011,-0.5,103.4,103.9,62.6,0.045,-4.62,100.5,105.1,0.49
126,Boston University 7,Pat,1131,2014,3.82,106.3,102.5,65.1,0.077,-2.58,103.4,106,3.22
200,Bowling Green,MAC,1132,2010,-2.9,101.3,104.2,63.1,0.052,0.77,102.9,102.2,-0.33
242,Bowling Green,MAC,1132,2011,-6.76,97.8,104.5,64.1,0.018,-2.7,101.5,104.2,-2.59
132,Bowling Green,MAC,1132,2012,3.75,103.8,100,63.9,-0.065,1.16,103.6,102.4,1.66
213,Bowling Green,MAC,1132,2013,-3.87,96.9,100.8,62.8,-0.091,-2.2,101.6,103.8,-2.94
207,Bowling Green,MAC,1132,2014,-3.9,93,96.9,65,-0.028,-0.21,104.1,104.3,0.1
115,Bowling Green,MAC,1132,2015,5.2,105.9,100.7,63.7,0.006,-1.56,103.6,105.2,-5.19
230,Bowling Green,MAC,1132,2016,-5.78,100.9,106.7,68.3,0.037,-1.5,104.7,106.2,-6.54
249,Bowling Green,MAC,1132,2017,-7.16,100.1,107.2,70,0.01,-1.8,103.9,105.7,-6.1
232,Bowling Green,MAC,1132,2018,-6.04,102,108.1,70,0.066,-2.61,103.8,106.5,-4.63
114,Bradley,MVC,1133,2010,5.69,106.3,100.6,64.9,0.016,4.53,105.6,101.1,0.99
